Age Group,Light Condition Desc,ACCIDENT_NO
30-39,Day,22005004668
30-39,Day,22005011659
30-39,Day,22005036700
30-39,Dark Street lights on,12005037732
30-39,Dark Street lights on,12005025887
30-39,Day,12005014745
30-39,Day,22005006868
30-39,Day,22005012807
30-39,Day,22005015718
30-39,Day,12005013087
30-39,Day,12005036296
30-39,Day,22005027310
30-39,Day,22005043396
30-39,Day,12005040403
30-39,Dark Street lights on,12005038960
30-39,Dark Street lights on,22005014913
30-39,Day,22005039250
30-39,Day,22005014543
30-39,Day,12005018392
30-39,Dark Street lights on,12005035285
30-39,Day,12005022669
30-39,Dusk/Dawn,12005029003
30-39,Dusk/Dawn,12005025573
30-39,Day,12005007596
30-39,Day,12005040818
30-39,Day,12005005898
30-39,Dusk/Dawn,22005010529
30-39,Dusk/Dawn,22005016430
30-39,Day,22005039605
40-49,Day,12005022863
40-49,Dark Street lights on,12005037407
40-49,Dusk/Dawn,22005033998
40-49,Day,22005011996
40-49,Day,22005027106
40-49,Day,22005006843
40-49,Day,22005001425
40-49,Dusk/Dawn,22005014997
40-49,Day,12005003188
40-49,Day,22005005943
40-49,Day,12005041340
40-49,Day,22005007010
40-49,Dark Street lights on,12005026675
40-49,Dark Street lights on,22005017802
40-49,Dark Street lights on,22005019242
40-49,Dark Street lights on,22005025738
40-49,Day,12005002195
40-49,Day,12005039629
40-49,Dark Street lights on,22005017504
40-49,Dark Street lights on,12005002749
40-49,Dusk/Dawn,12005024867
40-49,Day,22005011341
40-49,Day,12005022207
40-49,Day,22005007890
40-49,Dark Street lights unknown,22005022537
40-49,Day,22005027454
40-49,Dusk/Dawn,22005021588
40-49,Day,22005030131
unknown,Dusk/Dawn,22005027057
unknown,Day,22005031106
13-15,Day,22005025400
22-25,Day,12005004033
22-25,Dark Street lights on,12005006237
26-29,Day,12005035488
40-49,Day,12005007582
17-21,Dark Street lights on,12005026004
22-25,Dark Street lights on,12005026004
30-39,Day,12005007873
30-39,Dark Street lights on,12005026004
40-49,Dark Street lights on,12005026004
22-25,Dark Street lights on,12005009316
unknown,Dark Street lights on,12005019707
0-4,Day,22005020715
0-4,Dusk/Dawn,12005031847
0-4,Day,22005026912
0-4,Dark Street lights on,22005004471
0-4,Day,22005007446
0-4,Day,12005034628
0-4,Day,12005003192
0-4,Day,22005031868
0-4,Day,22005037157
0-4,Day,22005038348
0-4,Day,22005042332
0-4,Day,22005024038
0-4,Dark Street lights on,22005026441
0-4,Day,12005020909
0-4,Day,22005002501
0-4,Day,22005007446
unknown,Dusk/Dawn,12005006808
0-4,Day,22005037157
0-4,Day,22005010036
0-4,Day,22005011612
0-4,Day,22005006868
0-4,Day,12005020961
30-39,Day,12005020961
0-4,Unknown,12005029657
40-49,Day,12005013920
40-49,Day,22005005002
40-49,Day,12005022493
5-12,Dark Street lights on,12005031122
5-12,Day,12005018253
5-12,Day,22005014773
5-12,Day,22005007324
5-12,Dark No street lights,22005026552
5-12,Day,22005030131
5-12,Day,22005040993
5-12,Dark No street lights,22005033308
50-59,Dark Street lights on,22005013955
50-59,Day,22005007967
50-59,Day,12005021535
50-59,Day,12005002895
50-59,Dusk/Dawn,22005015603
50-59,Dark Street lights on,12005008148
50-59,Day,12005041428
50-59,Day,22005037696
50-59,Day,12005033012
50-59,Dusk/Dawn,12005009518
50-59,Day,12005002574
60-64,Day,12005004623
60-64,Day,22005026746
60-64,Day,22005004697
22-25,Dark Street lights on,52005042311
22-25,Day,52005037094
22-25,Dusk/Dawn,52005027407
