Age Group,Light Condition Desc,ACCIDENT_NO
30-39,Dark No street lights,42005019651
30-39,Day,32005012261
30-39,Day,32005024712
30-39,Dark Street lights on,52005040196
40-49,Day,42005005261
40-49,Dark Street lights unknown,42005026633
40-49,Dusk/Dawn,32005039830
40-49,Dark No street lights,42005020887
40-49,Dark Street lights on,42005025350
40-49,Dark No street lights,42005025271
40-49,Dusk/Dawn,42005019499
40-49,Dark No street lights,52005030473
40-49,Day,52005020067
40-49,Dark Street lights on,52005023920
40-49,Dark Street lights on,32005013459
40-49,Dark Street lights on,32005016437
40-49,Dusk/Dawn,52005031431
40-49,Day,52005041909
40-49,Day,32005008564
40-49,Dusk/Dawn,52005040628
40-49,Day,32005027731
40-49,Day,32005029737
40-49,Day,42005006733
40-49,Day,42005008300
40-49,Dark Street lights on,42005020369
40-49,Dark Street lights on,42005021858
40-49,Day,52005011765
40-49,Day,42005015992
40-49,Dark No street lights,32005040529
40-49,Dusk/Dawn,32005041360
40-49,Dark No street lights,32005002028
40-49,Day,42005006993
40-49,Dark No street lights,52005031808
40-49,Day,52005028256
40-49,Day,32005012850
40-49,Day,32005042866
40-49,Dark Street lights on,32005029503
40-49,Day,32005032565
40-49,Day,52005006202
40-49,Dusk/Dawn,52005031645
40-49,Dark No street lights,42005012164
40-49,Dark Street lights on,42005027159
40-49,Day,52005027409
40-49,Day,32005014415
40-49,Dusk/Dawn,52005034094
40-49,Day,32005029532
40-49,Dusk/Dawn,32005021437
40-49,Dusk/Dawn,42005021458
40-49,Dark Street lights on,42005028899
40-49,Dark Street lights on,42005026292
40-49,Day,42005009398
40-49,Dusk/Dawn,42005011475
40-49,Day,42005002284
40-49,Day,52005019566
40-49,Dusk/Dawn,52005023046
40-49,Day,32005018795
40-49,Dark No street lights,42005029018
40-49,Day,32005040038
40-49,Day,52005025374
40-49,Day,52005023145
40-49,Day,32005012841
40-49,Day,32005017786
40-49,Dark No street lights,42005016329
40-49,Dark Street lights on,52005034195
40-49,Dusk/Dawn,32005020313
40-49,Day,32005032031
40-49,Dark Street lights on,42005014196
40-49,Day,42005033900
40-49,Day,52005003735
40-49,Dark No street lights,52005029407
40-49,Dark Street lights off,52005006093
40-49,Dark No street lights,52005015320
40-49,Day,42005021729
40-49,Day,42005007288
40-49,Day,42005023459
40-49,Day,42005008972
40-49,Day,42005004544
40-49,Day,42005019491
40-49,Dark No street lights,52005029976
40-49,Dusk/Dawn,42005019309
40-49,Dark No street lights,32005001886
40-49,Dusk/Dawn,42005023690
40-49,Day,42005017632
40-49,Dark No street lights,42005026326
40-49,Day,52005005315
40-49,Day,52005039606
40-49,Dark Street lights on,52005032518
40-49,Dark No street lights,52005003177
40-49,Dusk/Dawn,32005030201
40-49,Day,32005006669
40-49,Dusk/Dawn,32005023112
40-49,Day,42005022135
40-49,Dark Street lights on,52005027005
40-49,Day,52005030104
50-59,Day,52005026731
50-59,Day,52005025947
50-59,Day,42005003653
50-59,Dusk/Dawn,52005011371
50-59,Dark No street lights,52005039567
50-59,Dark No street lights,52005004436
50-59,Day,52005028270
50-59,Day,42005009465
50-59,Day,42005008760
50-59,Day,32005032884
50-59,Day,42005006736
50-59,Day,42005008912
50-59,Day,32005041576
50-59,Dusk/Dawn,32005024209
50-59,Dark Street lights on,42005019787
50-59,Dark No street lights,52005019821
50-59,Day,52005033870
50-59,Day,32005014551
50-59,Dusk/Dawn,42005030426
50-59,Day,52005011313
50-59,Day,52005005560
50-59,Dark Street lights off,32005031332
50-59,Dark Street lights on,32005038039
50-59,Day,42005018512
50-59,Day,32005036994
50-59,Dusk/Dawn,52005020229
50-59,Dark No street lights,32005033230
50-59,Dark Street lights on,52005026417
50-59,Dark Street lights on,52005022297
50-59,Day,42005022311
50-59,Day,32005039973
50-59,Day,42005008600
50-59,Dusk/Dawn,42005029949
50-59,Dusk/Dawn,42005032429
50-59,Day,32005023097
50-59,Day,42005024757
50-59,Dark No street lights,52005014329
50-59,Dark Street lights on,52005021188
50-59,Day,52005034449
50-59,Dark No street lights,32005042154
50-59,Dark No street lights,42005024961
50-59,Dark Street lights on,32005007336
50-59,Dark Street lights on,32005024886
50-59,Day,42005028392
50-59,Dark Street lights on,42005012129
50-59,Day,32005018095
50-59,Dusk/Dawn,42005006927
50-59,Day,42005006198
50-59,Day,32005006749
50-59,Day,42005034071
50-59,Dark No street lights,52005035320
50-59,Dusk/Dawn,52005012717
50-59,Day,32005023407
50-59,Day,52005007569
50-59,Day,32005030025
50-59,Day,42005008069
50-59,Day,42005022940
50-59,Dark Street lights on,52005010765
50-59,Day,32005013866
50-59,Day,32005021654
50-59,Dark Street lights on,52005039871
50-59,Day,52005010957
50-59,Day,32005033451
50-59,Dark No street lights,32005013615
60-64,Day,42005029243
60-64,Dark Street lights on,42005016654
60-64,Dark No street lights,32005021838
60-64,Day,32005013950
60-64,Day,52005003755
60-64,Day,42005020820
60-64,Dark No street lights,52005003387
60-64,Day,32005020631
60-64,Dark Street lights on,42005008746
60-64,Day,52005016071
60-64,Day,52005005678
60-64,Day,52005029268
60-64,Day,52005019348
60-64,Dark Street lights on,32005011193
60-64,Dark Street lights on,32005001304
60-64,Dark No street lights,32005019284
60-64,Unknown,52005039091
60-64,Dark Street lights on,32005024223
60-64,Day,42005024585
60-64,Day,32005009138
60-64,Dark Street lights on,52005022100
64-69,Dusk/Dawn,32005009552
64-69,Day,52005019012
64-69,Dusk/Dawn,32005014981
64-69,Day,32005031353
64-69,Day,42005026344
64-69,Dark Street lights on,42005018969
64-69,Day,42005033670
64-69,Day,42005018691
64-69,Day,52005030518
64-69,Dark No street lights,42005005549
64-69,Day,42005024350
64-69,Dark No street lights,32005031135
64-69,Dark Street lights on,42005030058
64-69,Day,52005017677
70+,Day,52005040920
70+,Day,52005002307
70+,Day,52005013205
70+,Dark Street lights on,42005016457
70+,Dusk/Dawn,52005009618
70+,Day,52005004560
70+,Day,52005001725
70+,Dusk/Dawn,32005031193
70+,Day,32005040447
70+,Dusk/Dawn,42005020176
70+,Day,42005030003
70+,Day,52005042937
70+,Dark Street lights on,32005033989
70+,Dusk/Dawn,32005022728
70+,Day,42005017970
70+,Day,52005001756
70+,Day,42005013612
70+,Day,42005018302
70+,Day,52005032098
70+,Day,42005030395
70+,Dark Street lights on,42005020632
70+,Day,52005004637
70+,Day,32005004014
70+,Day,42005027558
70+,Day,52005037260
70+,Dark Street lights on,52005023927
70+,Day,32005016282
70+,Day,52005030970
70+,Day,52005014837
30-39,Dusk/Dawn,52005015672
unknown,Day,42005008920
17-21,Day,52005025998
17-21,Dark Street lights on,32005040899
17-21,Dusk/Dawn,52005021379
17-21,Day,42005022135
17-21,Day,42005004934
17-21,Day,32005015213
22-25,Dusk/Dawn,42005033396
22-25,Dark Street lights on,42005033848
22-25,Day,52005002412
22-25,Dark No street lights,52005025464
22-25,Day,52005022598
22-25,Day,32005036787
22-25,Dark Street lights on,32005008278
22-25,Dusk/Dawn,32005011260
22-25,Day,52005004152
22-25,Day,42005004429
26-29,Dark No street lights,32005019468
26-29,Day,52005004450
26-29,Dark Street lights on,32005018624
26-29,Day,32005008707
30-39,Dark Street lights on,32005012965
30-39,Dusk/Dawn,42005023800
30-39,Day,32005039039
30-39,Day,42005028691
30-39,Dusk/Dawn,32005023086
30-39,Day,52005038243
30-39,Day,32005007816
30-39,Day,32005005445
30-39,Day,42005028689
30-39,Dusk/Dawn,32005012334
30-39,Dark Street lights on,32005033325
30-39,Day,42005032344
30-39,Day,52005005532
30-39,Dusk/Dawn,32005022484
30-39,Day,52005012550
30-39,Day,42005010950
30-39,Dark Street lights on,32005042421
30-39,Day,42005013164
30-39,Dusk/Dawn,52005020256
30-39,Day,42005028700
30-39,Dusk/Dawn,52005021723
40-49,Dusk/Dawn,42005030615
40-49,Day,32005039809
40-49,Day,52005007943
40-49,Day,42005023077
40-49,Day,32005007800
40-49,Day,52005010957
40-49,Dark Street lights on,32005022553
40-49,Day,42005030956
40-49,Day,32005042018
40-49,Day,52005022620
40-49,Dusk/Dawn,52005014461
40-49,Dark Street lights on,32005023403
40-49,Day,32005023097
40-49,Dusk/Dawn,32005010130
40-49,Day,32005012261
40-49,Day,42005012887
40-49,Day,32005026720
40-49,Day,52005016937
50-59,Day,52005039898
50-59,Day,52005011388
50-59,Day,32005003667
50-59,Day,32005031141
50-59,Day,52005036686
50-59,Dark Street lights on,32005014278
50-59,Day,42005003256
50-59,Day,42005031616
50-59,Day,42005010187
50-59,Day,32005039950
60-64,Dark Street lights on,42005020008
60-64,Day,42005012475
64-69,Day,52005038422
64-69,Dusk/Dawn,42005017367
64-69,Day,52005014493
70+,Day,42005013342
40-49,Dark No street lights,32005034362
17-21,Day,42005010187
26-29,Dark No street lights,52005025464
26-29,Day,52005004450
30-39,Dusk/Dawn,52005013331
30-39,Day,32005008068
30-39,Dusk/Dawn,42005030615
30-39,Day,32005008639
30-39,Dusk/Dawn,52005014461
30-39,Day,32005037566
40-49,Dark Street lights on,32005022062
40-49,Dusk/Dawn,52005015672
40-49,Day,42005004540
40-49,Day,52005039903
40-49,Day,52005028228
40-49,Dark Street lights on,42005017340
50-59,Day,52005036686
50-59,Day,52005014075
50-59,Day,32005039039
50-59,Day,52005014493
50-59,Day,52005012550
60-64,Day,42005032344
64-69,Day,42005020829
70+,Dusk/Dawn,32005023086
30-39,Day,52005004152
30-39,Day,32005008068
17-21,Day,32005037566
26-29,Dusk/Dawn,52005021723
40-49,Day,32005008639
50-59,Day,52005036686
64-69,Day,42005028689
64-69,Dusk/Dawn,52005013331
70+,Day,42005023077
70+,Dark No street lights,52005025464
40-49,Dusk/Dawn,42005030615
64-69,Dusk/Dawn,32005023086
22-25,Day,42005008173
40-49,Day,52005041670
30-39,Day,32005017177
60-64,Day,42005034116
50-59,Day,32005041584
40-49,Day,52005010347
40-49,Day,32005025801
50-59,Day,52005011243
26-29,Dark Street lights on,42005026339
30-39,Dusk/Dawn,42005025086
30-39,Dusk/Dawn,42005024344
30-39,Day,42005006869
40-49,Day,32005006847
40-49,Day,32005039448
64-69,Day,32005033640
16-17,Day,32005036392
64-69,Day,52005003741
22-25,Dusk/Dawn,32005022073
30-39,Day,42005029107
40-49,Day,52005008986
50-59,Day,32005006855
30-39,Day,52005024682
22-25,Day,52005042272
40-49,Day,42005005792
17-21,Day,32005006161
40-49,Day,52005017451
40-49,Dusk/Dawn,32005035687
64-69,Day,52005018993
50-59,Day,52005018993
40-49,Day,52005011862
40-49,Day,52005024782
40-49,Day,52005040892
64-69,Day,52005015325
26-29,Day,52005007297
30-39,Day,32005039233
50-59,Dusk/Dawn,32005036986
30-39,Dark Street lights on,32005033478
40-49,Day,32005015713
40-49,Day,32005040543
40-49,Day,32005013443
unknown,Day,32005010658
unknown,Dark Street lights on,32005036564
40-49,Day,32005009138
40-49,Dusk/Dawn,42005026772
50-59,Dusk/Dawn,52005021879
50-59,Day,32005033625
50-59,Day,32005018652
50-59,Dark Street lights off,42005032732
60-64,Day,32005002790
40-49,Dark Street lights on,32005021249
50-59,Day,42005011886
17-21,Dusk/Dawn,32005010732
17-21,Dusk/Dawn,42005022422
17-21,Dark Street lights on,42005014007
22-25,Dark Street lights on,32005011912
22-25,Day,32005013634
40-49,Day,42005015834
50-59,Day,52005031433
unknown,Day,52005035469
50-59,Day,32005008682
16-17,Dark No street lights,52005008122
17-21,Dark Street lights on,32005012965
17-21,Dark Street lights on,32005014593
17-21,Dark Street lights on,42005034027
17-21,Dark Street lights on,52005035467
17-21,Day,32005033830
17-21,Day,52005003291
17-21,Dark Street lights on,52005036918
17-21,Day,32005025582
17-21,Dark Street lights on,42005032654
17-21,Dusk/Dawn,42005028871
17-21,Day,52005034141
17-21,Dark Street lights on,32005030448
17-21,Dark Street lights on,32005004907
17-21,Dusk/Dawn,52005027252
17-21,Dark No street lights,32005038099
17-21,Day,32005032409
17-21,Day,32005042372
17-21,Dark Street lights on,32005017321
17-21,Day,32005008913
17-21,Day,32005027736
17-21,Dark Street lights on,42005021925
17-21,Day,42005011729
17-21,Dark Street lights on,42005003146
17-21,Dark Street lights unknown,52005031647
17-21,Day,42005031599
17-21,Day,42005011736
17-21,Dark Street lights on,42005022763
17-21,Day,32005002801
17-21,Dusk/Dawn,52005027855
17-21,Dark Street lights on,52005035391
17-21,Day,52005043037
17-21,Day,52005007088
17-21,Day,52005029859
17-21,Dark Street lights on,42005014812
17-21,Day,32005039937
17-21,Day,32005007142
17-21,Day,42005031183
17-21,Day,42005011723
17-21,Dark Street lights on,42005033071
17-21,Day,32005024371
17-21,Day,52005016918
17-21,Dusk/Dawn,52005037677
17-21,Day,42005002951
22-25,Dark Street lights on,32005028680
22-25,Day,52005040464
22-25,Day,42005010761
22-25,Day,32005038540
22-25,Day,32005009886
22-25,Dark Street lights on,32005031289
22-25,Dusk/Dawn,42005028314
22-25,Dark Street lights on,42005034029
22-25,Day,32005025773
22-25,Day,42005018483
22-25,Dark Street lights on,52005024774
22-25,Day,52005031050
22-25,Dark Street lights on,52005015820
22-25,Day,32005019263
22-25,Dark Street lights on,42005012477
22-25,Day,52005011773
22-25,Day,32005019952
22-25,Day,32005004901
22-25,Dark No street lights,52005021336
22-25,Day,32005018458
22-25,Dark Street lights on,32005020475
22-25,Dusk/Dawn,32005022994
22-25,Day,52005009008
22-25,Dark Street lights on,52005042679
22-25,Day,42005011514
22-25,Day,32005023621
22-25,Dusk/Dawn,32005012845
22-25,Dark Street lights on,42005004130
22-25,Day,32005006013
22-25,Day,52005001938
22-25,Day,52005015968
22-25,Day,52005006252
26-29,Dark No street lights,52005005383
26-29,Day,32005038566
26-29,Dusk/Dawn,32005004348
26-29,Dusk/Dawn,42005016394
26-29,Dusk/Dawn,42005034053
26-29,Day,52005006765
26-29,Dusk/Dawn,32005040531
26-29,Dark Street lights on,42005013657
26-29,Day,32005024694
26-29,Day,32005002776
26-29,Day,52005026759
26-29,Day,52005025167
26-29,Day,32005018078
26-29,Day,32005040456
26-29,Day,32005008245
26-29,Dark Street lights on,32005004472
26-29,Day,32005003777
26-29,Dusk/Dawn,52005021508
26-29,Day,42005033487
26-29,Dark Street lights on,52005015305
26-29,Day,52005042872
26-29,Day,32005022996
26-29,Day,32005005970
26-29,Dusk/Dawn,32005010375
26-29,Day,42005022497
26-29,Dark Street lights on,52005021722
30-39,Day,32005006974
30-39,Day,52005013680
30-39,Day,32005016827
30-39,Day,52005014807
30-39,Day,32005029543
30-39,Day,42005004918
30-39,Day,32005007139
30-39,Day,32005032723
30-39,Day,42005008053
30-39,Dark Street lights on,42005021678
30-39,Day,32005037016
30-39,Day,42005008085
30-39,Dark No street lights,32005008683
30-39,Day,32005039460
30-39,Day,42005010171
30-39,Dark Street lights on,52005037633
30-39,Day,42005005817
30-39,Dusk/Dawn,32005042804
30-39,Dark Street lights on,42005010872
30-39,Day,52005028920
30-39,Dark Street lights on,42005013653
30-39,Day,42005005473
30-39,Day,32005024272
30-39,Day,52005016710
30-39,Day,42005020389
30-39,Day,32005003155
30-39,Day,42005013659
30-39,Dark Street lights off,42005001350
30-39,Day,32005034713
30-39,Dark Street lights on,52005020886
30-39,Day,52005003280
30-39,Day,42005029779
30-39,Dusk/Dawn,42005019158
30-39,Day,32005005421
30-39,Day,32005043064
30-39,Dusk/Dawn,42005019988
30-39,Dusk/Dawn,42005027186
30-39,Day,32005035897
30-39,Day,32005012450
30-39,Day,52005002077
30-39,Day,52005012462
30-39,Day,42005007233
30-39,Day,52005030498
30-39,Dusk/Dawn,42005030941
30-39,Day,52005007066
30-39,Day,52005024177
30-39,Day,32005033287
30-39,Dusk/Dawn,42005020834
30-39,Day,52005030172
30-39,Day,32005031336
30-39,Day,32005034005
30-39,Dark Street lights on,32005036163
30-39,Dark Street lights on,52005018527
30-39,Day,52005031631
30-39,Dark No street lights,42005018484
30-39,Day,42005006861
30-39,Dusk/Dawn,42005026291
30-39,Day,52005042524
30-39,Day,32005037243
30-39,Dark Street lights on,42005029765
30-39,Day,32005032554
30-39,Day,42005019453
30-39,Day,32005015422
30-39,Day,32005009887
30-39,Dusk/Dawn,32005031116
30-39,Dark Street lights on,32005007796
30-39,Day,42005006570
30-39,Day,42005008325
30-39,Day,52005011752
40-49,Day,42005008321
40-49,Dark Street lights on,32005011878
40-49,Day,32005015600
40-49,Dark Street lights on,52005042040
40-49,Day,52005020670
40-49,Day,52005024777
40-49,Day,42005013777
40-49,Day,52005012914
40-49,Day,32005041991
40-49,Dusk/Dawn,42005033254
40-49,Dusk/Dawn,52005013804
40-49,Day,32005003922
40-49,Dusk/Dawn,42005034051
40-49,Day,42005014800
40-49,Day,32005035223
40-49,Day,42005004528
40-49,Day,32005020814
40-49,Dark Street lights on,32005020449
40-49,Day,32005023733
40-49,Dark Street lights on,42005025138
40-49,Day,52005011379
40-49,Dark Street lights on,42005026798
40-49,Day,32005038531
40-49,Day,32005008681
40-49,Day,32005010714
40-49,Day,42005019329
40-49,Dark Street lights on,42005032615
40-49,Day,32005035513
40-49,Day,32005012040
40-49,Day,42005030784
40-49,Dusk/Dawn,52005025135
40-49,Day,52005017440
40-49,Day,52005004599
40-49,Dusk/Dawn,42005029397
40-49,Day,32005015026
40-49,Day,32005021247
40-49,Dusk/Dawn,52005015465
40-49,Day,32005029065
40-49,Day,32005012449
40-49,Day,32005023227
40-49,Dark Street lights on,42005016015
40-49,Dark Street lights on,42005027217
40-49,Day,32005014383
50-59,Day,42005004949
50-59,Day,32005013627
50-59,Dusk/Dawn,32005005645
50-59,Day,32005004327
50-59,Day,32005024732
50-59,Dark Street lights on,42005030730
50-59,Day,32005033217
50-59,Dark Street lights on,42005014985
50-59,Dark Street lights on,52005026681
50-59,Day,52005037923
50-59,Dusk/Dawn,32005039284
50-59,Dusk/Dawn,42005012095
50-59,Day,42005004076
50-59,Day,52005017708
50-59,Day,42005029712
50-59,Day,42005015286
50-59,Dusk/Dawn,42005019795
50-59,Day,42005018489
50-59,Dusk/Dawn,42005011908
50-59,Dark Street lights on,32005019098
50-59,Day,42005008475
50-59,Dusk/Dawn,42005017406
50-59,Day,42005029347
50-59,Day,42005027799
50-59,Day,42005018699
50-59,Dark Street lights on,42005032771
50-59,Day,52005014819
50-59,Day,32005008425
50-59,Dusk/Dawn,42005017190
50-59,Day,32005037804
50-59,Day,52005012136
50-59,Day,32005006947
50-59,Day,32005012655
50-59,Day,32005032422
50-59,Day,32005038033
60-64,Day,42005027667
60-64,Day,52005007603
60-64,Day,52005007581
60-64,Day,42005014043
60-64,Day,42005006978
60-64,Dark Street lights on,52005030688
60-64,Dark Street lights on,32005022572
64-69,Day,32005014441
64-69,Day,42005005500
64-69,Dusk/Dawn,32005039155
64-69,Day,52005023372
70+,Day,52005002641
70+,Day,32005016399
70+,Day,52005033707
70+,Day,42005028865
70+,Day,52005003195
70+,Day,42005013024
70+,Day,32005010140
70+,Day,42005001895
70+,Dusk/Dawn,52005035960
70+,Day,32005023726
70+,Day,52005028255
70+,Dusk/Dawn,42005025126
70+,Day,32005023138
unknown,Dark Street lights on,52005037473
13-15,Day,42005012878
13-15,Unknown,32005026526
16-17,Day,32005035345
17-21,Day,32005012627
17-21,Dusk/Dawn,32005003919
17-21,Dark Street lights on,52005018723
22-25,Dusk/Dawn,32005016836
22-25,Dark Street lights on,32005011709
22-25,Day,42005014022
26-29,Day,32005001244
26-29,Day,42005025661
30-39,Day,52005005900
30-39,Day,32005004334
30-39,Day,52005034612
40-49,Day,32005022245
40-49,Day,52005003951
unknown,Day,32005013073
unknown,Day,32005023774
unknown,Day,32005040570
unknown,Day,32005043163
unknown,Dark No street lights,42005028519
unknown,Day,42005029843
unknown,Dark Street lights on,52005035387
unknown,Day,52005039624
unknown,Day,52005042205
unknown,Day,42005012100
30-39,Day,52005025303
50-59,Dark No street lights,42005008103
70+,Dusk/Dawn,32005019273
22-25,Day,32005040537
17-21,Day,32005013051
17-21,Day,32005015422
17-21,Day,52005023127
17-21,Dark Street lights on,42005017980
17-21,Dark Street lights on,42005003675
17-21,Dark Street lights on,32005016841
17-21,Dark Street lights on,32005034718
17-21,Dark Street lights on,32005023630
17-21,Day,32005022245
17-21,Dusk/Dawn,42005034053
17-21,Dark Street lights on,42005012114
17-21,Day,52005038181
17-21,Dark Street lights off,32005028190
22-25,Day,32005035577
22-25,Day,32005041107
22-25,Dark Street lights on,42005005000
22-25,Day,52005010911
22-25,Day,42005012465
22-25,Dark Street lights on,32005020475
22-25,Dark Street lights on,32005011878
22-25,Dark Street lights on,42005030989
22-25,Dark Street lights on,52005031056
22-25,Dark Street lights on,32005022442
22-25,Day,42005018122
22-25,Day,32005005091
22-25,Day,52005013536
26-29,Day,52005009217
26-29,Day,32005037016
26-29,Dusk/Dawn,52005027237
26-29,Dusk/Dawn,52005006548
26-29,Day,52005041768
26-29,Day,52005029903
26-29,Day,32005031543
26-29,Dark Street lights on,42005025140
26-29,Dusk/Dawn,32005016112
26-29,Dark Street lights on,32005036352
26-29,Day,32005038329
26-29,Dark Street lights on,42005021678
26-29,Day,52005015503
30-39,Dark Street lights on,32005023844
30-39,Day,32005009410
30-39,Day,32005012832
30-39,Day,52005004422
30-39,Day,42005007829
30-39,Day,32005010102
30-39,Dark Street lights on,52005004602
30-39,Dark Street lights on,42005004130
30-39,Dusk/Dawn,52005007421
30-39,Dark Street lights on,32005029108
30-39,Day,32005037220
30-39,Day,42005005812
30-39,Dusk/Dawn,32005040531
30-39,Day,52005023336
30-39,Day,32005033287
30-39,Day,42005028562
30-39,Day,32005035288
30-39,Day,32005040954
30-39,Day,42005032892
30-39,Day,52005016055
30-39,Day,42005015238
30-39,Day,42005015296
40-49,Day,42005017212
40-49,Day,32005005970
40-49,Day,32005027756
40-49,Dark Street lights on,42005027208
40-49,Dusk/Dawn,32005022734
40-49,Day,32005012238
40-49,Day,52005011362
40-49,Dusk/Dawn,52005013600
40-49,Dark No street lights,42005011776
40-49,Day,32005027736
40-49,Day,32005018455
40-49,Day,42005024952
40-49,Day,32005036382
40-49,Dusk/Dawn,42005010943
40-49,Dark Street lights on,32005004907
40-49,Dark Street lights on,42005021735
40-49,Day,42005029347
40-49,Dark Street lights on,42005014007
40-49,Day,42005032456
40-49,Day,42005011501
40-49,Day,32005004897
40-49,Day,32005016288
40-49,Day,52005006080
40-49,Dark Street lights on,32005017140
40-49,Day,32005009790
40-49,Day,32005019295
40-49,Day,32005005214
40-49,Day,42005013646
40-49,Day,32005009379
40-49,Dark Street lights on,32005023851
40-49,Day,32005035912
40-49,Day,32005013960
40-49,Dark Street lights on,52005020838
50-59,Day,42005013507
50-59,Day,42005002589
50-59,Day,52005028379
50-59,Dark Street lights on,32005036163
50-59,Dark Street lights on,52005021520
50-59,Day,32005019101
50-59,Day,42005021929
50-59,Day,42005017401
50-59,Unknown,52005023026
50-59,Day,32005018909
50-59,Day,32005043204
50-59,Day,32005004327
50-59,Dark Street lights on,52005035387
50-59,Day,32005006150
50-59,Day,52005027401
50-59,Day,52005020670
50-59,Day,42005022288
50-59,Day,42005012479
50-59,Dusk/Dawn,52005003749
50-59,Day,32005039752
60-64,Dusk/Dawn,42005017787
64-69,Day,52005039828
64-69,Day,32005019263
64-69,Dusk/Dawn,42005028871
64-69,Dusk/Dawn,52005009286
64-69,Day,42005017998
70+,Dark Street lights on,32005013763
70+,Dusk/Dawn,42005022817
70+,Dusk/Dawn,52005037677
70+,Day,32005024371
16-17,Dark Street lights on,32005011497
30-39,Dark Street lights on,52005032673
unknown,Day,32005040456
30-39,Day,32005031543
17-21,Day,32005006974
17-21,Dark Street lights on,32005020475
22-25,Dark Street lights on,52005038974
22-25,Day,32005040954
22-25,Day,32005041991
26-29,Day,42005007829
26-29,Day,52005007066
30-39,Day,32005009410
30-39,Day,32005024732
30-39,Dark Street lights on,42005013793
30-39,Dark Street lights on,42005004130
30-39,Day,42005008325
30-39,Day,42005022497
30-39,Dark Street lights on,32005036352
30-39,Day,32005038566
40-49,Day,32005037509
40-49,Day,42005002589
40-49,Dusk/Dawn,42005034053
40-49,Dusk/Dawn,32005016112
40-49,Dusk/Dawn,32005024519
40-49,Day,42005031606
40-49,Day,42005008321
40-49,Day,32005004327
40-49,Dark Street lights on,52005021520
40-49,Day,52005003385
40-49,Day,32005040723
40-49,Day,42005033487
50-59,Dusk/Dawn,32005040531
50-59,Day,52005015057
50-59,Dark Street lights on,32005036163
50-59,Day,42005022288
50-59,Day,32005009887
50-59,Day,42005013612
50-59,Dark Street lights on,32005031289
50-59,Day,52005037470
60-64,Day,52005005309
70+,Dark Street lights on,42005027208
70+,Day,52005023372
70+,Dark Street lights on,42005028313
unknown,Day,32005040570
17-21,Dark Street lights on,32005016640
17-21,Day,42005005666
30-39,Dark Street lights on,42005028313
50-59,Day,32005040954
unknown,Day,42005013646
30-39,Day,32005031115
30-39,Dark Street lights on,32005016640
50-59,Day,32005003514
50-59,Day,32005004027
30-39,Day,52005036227
40-49,Day,32005013754
40-49,Day,52005022452
50-59,Day,32005005214
50-59,Day,32005017566
40-49,Day,42005010947
40-49,Day,52005008088
30-39,Dark Street lights on,32005039468
17-21,Day,32005018092
22-25,Day,52005034458
40-49,Day,52005042011
26-29,Dark Street lights on,42005018673
40-49,Dark Street lights on,42005032771
30-39,Dark Street lights on,32005016640
22-25,Dark Street lights on,52005013883
0-4,Dark Street lights on,52005022937
13-15,Dark Street lights on,42005033845
26-29,Dusk/Dawn,22005013106
26-29,Day,22005039250
26-29,Dusk/Dawn,22005013228
26-29,Day,22005022386
26-29,Day,22005022508
26-29,Dusk/Dawn,12005019836
26-29,Dark Street lights on,12005025153
26-29,Day,22005035171
26-29,Dark Street lights on,22005035883
26-29,Day,22005002374
26-29,Dark Street lights on,22005022223
26-29,Day,12005018249
26-29,Dark Street lights on,12005029149
26-29,Dusk/Dawn,12005020991
26-29,Day,12005031247
26-29,Dusk/Dawn,22005017831
26-29,Dark Street lights on,12005014894
26-29,Day,22005005396
26-29,Dusk/Dawn,22005021626
26-29,Dusk/Dawn,22005016983
26-29,Day,22005035429
26-29,Day,22005040480
26-29,Day,22005043349
26-29,Day,22005008817
26-29,Dark Street lights on,12005029014
26-29,Day,12005037651
26-29,Day,12005017717
26-29,Dusk/Dawn,12005028056
26-29,Day,12005027061
26-29,Day,12005007490
26-29,Day,22005022901
26-29,Dark Street lights on,22005024175
26-29,Day,22005038693
26-29,Day,22005033584
26-29,Day,12005016541
26-29,Dusk/Dawn,12005032156
26-29,Day,12005009841
26-29,Dusk/Dawn,12005029660
26-29,Day,22005019425
26-29,Day,22005012799
26-29,Day,22005038002
26-29,Day,22005003609
26-29,Day,22005038069
26-29,Dark Street lights on,12005035595
26-29,Dark Street lights on,12005016545
26-29,Dark Street lights on,12005034547
26-29,Day,22005039588
26-29,Day,22005002896
26-29,Day,12005015708
26-29,Day,22005007708
26-29,Dusk/Dawn,12005027189
26-29,Dusk/Dawn,22005033000
26-29,Day,12005015690
26-29,Day,22005036302
26-29,Dark Street lights on,12005020896
26-29,Day,22005005926
26-29,Day,22005009496
26-29,Day,12005014339
26-29,Dark Street lights unknown,22005020397
26-29,Dark Street lights on,12005013213
26-29,Dusk/Dawn,12005025462
26-29,Day,12005005593
26-29,Day,12005037236
26-29,Day,22005018062
26-29,Day,12005025900
26-29,Day,12005020559
30-39,Day,22005020715
30-39,Day,22005031106
30-39,Day,12005018364
30-39,Dark Street lights on,22005019257
30-39,Dusk/Dawn,12005012353
30-39,Day,12005026136
30-39,Dusk/Dawn,12005021403
30-39,Day,12005040810
30-39,Dark Street lights on,22005037512
30-39,Day,22005038348
30-39,Dark Street lights on,22005017477
30-39,Dusk/Dawn,22005022002
30-39,Dusk/Dawn,22005007452
30-39,Day,22005016233
30-39,Day,22005040478
30-39,Day,12005002347
